ArrayId;Date;Stim;Therm;Side;Line;DayP;Anesthesie;CSF;Deep;FileName;CodeName;NewFileName
1;2023.08.04;Tac;none;Wcont;WT;P8;0;0;757;allego_0__uid0804-15-26-48;Tac_Wcont_WT_P8_F_3.8g_A4x8_Z757;1
1;2023.08.04;Tac;none;Wcont;WT;P8;0;0;957;allego_1__uid0804-15-40-14;Tac_Wcont_WT_P8_F_3.8g_A4x8_Z957;2
1;2023.08.04;Tac;none;Wcont;WT;P8;0;0;977;allego_2__uid0804-16-16-33;Tac_Wcont_WT_P8_F_3.8g_A4x8_Z977;3
1;2023.08.04;Tac;none;Wcont;WT;P8;0;0;977;allego_4__uid0804-16-26-47;Tac_Wcont_WT_P8_F_3.8g_A4x8_Z977;4
1;2023.08.04;Tac;none;Wcont;WT;P8;0;0;977;allego_6__uid0804-16-42-01;Tac_Wcont_WT_P8_F_3.8g_A4x8_Z977;5
1;2023.08.04;Tac;none;Wcont;WT;P8;0;0;977;allego_7__uid0804-17-16-18;Tac_Wcont_WT_P8_F_3.8g_A4x8_Z977;6
1;2023.08.04;Tac;none;;WT;P8;0;0;977;allego_8__uid0804-17-26-30;Tac_belly_WT_P8_F_3.8g_A4x8_Z977;7
1;2023.08.04;Thq;cool;Wcont;WT;P8;0;0;977;allego_9__uid0804-17-44-36;Thq_cool_Wcont_WT_P8_F_3.8g_A4x8_Z977;8
1;2023.08.04;Thq;cool;Wcont;WT;P8;0;0;977;allego_10__uid0804-17-48-07;Thq_cool_Wcont_WT_P8_F_3.8g_A4x8_Z977;9
1;2023.08.04;Thq;cool;Wcont;WT;P8;0;0;977;allego_11__uid0804-17-53-28;Thq_cool_Wcont_WT_P8_F_3.8g_A4x8_Z977;10
1;2023.08.04;Thq;cool;Wcont;WT;P8;0;0;977;allego_12__uid0804-17-57-57;Thq_cool_Wcont_WT_P8_F_3.8g_A4x8_Z977;11
2;2024.01.11;Spontaneous;none;;WT;P8;0;0;500;allego_0__uid0111-16-38-16;Spontaneous_WT_P8_M_4.6g_A4x8_Z500;12
2;2024.01.11;Tac;none;Wcont;WT;P8;0;0;500;allego_1__uid0111-16-47-36;Tac_Wcont_WT_P8_M_4.6g_A4x8_Z500;13
2;2024.01.11;Tac;none;Wipsi;WT;P8;0;0;500;allego_2__uid0111-16-56-26;Tac_Wipsi_WT_P8_M_4.6g_A4x8_Z500;14
2;2024.01.11;Tac;none;;WT;P8;0;0;500;allego_3__uid0111-17-10-34;Tac_paw_WT_P8_M_4.6g_A4x8_Z500;15
2;2024.01.11;Tac;none;Wcont;WT;P8;0;0;500;allego_4__uid0111-17-19-46;Tac_Wcont_WT_P8_M_4.6g_A4x8_Z500;16
2;2024.01.11;Thq;cool;Wcont;WT;P8;0;0;500;allego_7__uid0111-17-43-58;Thq_cool_Wcont_WT_P8_M_4.6g_A4x8_Z500;17
2;2024.01.11;Thq;cool;Wcont;WT;P8;0;0;500;allego_8__uid0111-17-55-14;Thq_cool_Wcont_WT_P8_M_4.6g_A4x8_Z500;18
2;2024.01.11;Thq;cool;Wcont;WT;P8;0;0;500;allego_9__uid0111-18-07-32;Thq_cool_Wcont_WT_P8_M_4.6g_A4x8_Z500;19
2;2024.01.11;Thq;hot;Wcont;WT;P8;0;0;500;allego_10__uid0111-18-21-17;Thq_hot_Wcont_WT_P8_M_4.6g_A4x8_Z500;20
2;2024.01.11;Thq;cool;Wipsi;WT;P8;0;0;500;allego_11__uid0111-18-36-21;Thq_cool_Wipsi_WT_P8_M_4.6g_A4x8_Z500;21
3;2024.01.17;Spontaneous;none;;WT;P14;0;0;700;allego_0__uid0117-14-19-59;Spontaneous_WT_P14_F_8.7g _A4x8_Z700;22
